unique_label,entity,entity_type,wallet_type,address,network
Kraken,Kraken,exchange,cold,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Ethereum
Kraken 10,Kraken,exchange,cold,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Ethereum
Kraken 11,Kraken,exchange,cold,0x43984d578803891dfa9706bdeee6078d80cfc79e,Ethereum
Kraken 12,Kraken,exchange,cold,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Ethereum
Kraken 13,Kraken,exchange,cold,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Ethereum
Kraken 14,Kraken,exchange,cold,0xa83b11093c858c86321fbc4c20fe82cdbd58e09e,Ethereum
Kraken 2,Kraken,exchange,cold,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Ethereum
Kraken 3,Kraken,exchange,cold,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Ethereum
Kraken 4,Kraken,exchange,cold,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Ethereum
Kraken 5,Kraken,exchange,cold,0xfa52274dd61e1643d2205169732f29114bc240b3,Ethereum
Kraken 6,Kraken,exchange,cold,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Ethereum
Kraken 7,Kraken,exchange,cold,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Ethereum
Kraken 8,Kraken,exchange,cold,0xc6bed363b30df7f35b601a5547fe56cd31ec63da,Ethereum
Kraken 9,Kraken,exchange,cold,0x29728d0efd284d85187362faa2d4d76c2cfc2612,Ethereum
Kraken: Deployer 1,Kraken,exchange,depositor,0x2e7542ec36df6429d8c397f88c4cf0c925948f44,Ethereum
Kraken: Deployer 2,Kraken,exchange,depositor,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,Ethereum
Kraken: Hot Wallet,Kraken,exchange,hot,0xe9f7ecae3a53d2a67105292894676b00d1fab785,Ethereum
Kraken: MANA Token Wallet,Kraken,exchange,other,0xe1498a9ef5c6aa51790a642f70c31238326b1724,Ethereum
Coinbase 1,Coinbase,exchange,cold,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Ethereum
Coinbase 10,Coinbase,exchange,cold,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Ethereum
Coinbase 11,Coinbase,exchange,cold,0x77696bb39917c91a0c3908d577d5e322095425ca,Ethereum
Coinbase 12,Coinbase,exchange,cold,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,Ethereum
Coinbase 13,Coinbase,exchange,cold,0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,Ethereum
Coinbase 14,Coinbase,exchange,cold,0xb739d0895772dbb71a89a3754a160269068f0d45,Ethereum
Coinbase 2,Coinbase,exchange,cold,0x503828976d22510aad0201ac7ec88293211d23da,Ethereum
